Station,Date,SummaryScore,Narrative,Lat,Long
BCBC210,7/29/03,92,Excellent,39.29786682,-77.26285553
BCBC210,7/13/99,78,Good,39.29786682,-77.26285553
BCBC211,7/25/03,68,Good,39.29843903,-77.28548431
BCBC211,7/12/99,78,Good,39.29843903,-77.28548431
BCBC301,6/23/20,74,Good,39.307124,-77.222654
BCBC301,7/16/15,74,Good,39.307124,-77.222654
BCBC301,8/5/03,60,Fair,39.307124,-77.222654
BCBC301,7/14/99,68,Good,39.307124,-77.222654
BCBC301,8/22/97,74,Good,39.307124,-77.222654
BCBC305,6/22/99,74,Good,39.31063461,-77.23733521
BCBC305,8/22/97,74,Good,39.31063461,-77.23733521
BCBC306,7/12/99,56,Fair,39.29040909,-77.24140167
BCBC306,8/22/97,56,Fair,39.29040909,-77.24140167
BCBC307,9/11/23,82,Good,NULL,NULL
BCBC308,7/9/15,68,Good,39.304722,-77.252222
BCBC308,7/24/03,38,Poor,39.304722,-77.252222
BCBC308,7/13/99,68,Good,39.304722,-77.252222
BCBC308,8/26/97,68,Good,39.304722,-77.252222
BCBC401,7/30/03,68,Good,39.30529785,-77.25382233
BCBC401,6/22/99,56,Fair,39.30529785,-77.25382233
BCBC401,8/21/97,78,Good,39.30529785,-77.25382233
BCBC404,7/30/03,78,Good,39.30461121,-77.28862762
BCBC404,6/23/99,78,Good,39.30461121,-77.28862762
BCBC404,8/19/97,86,Good,39.30461121,-77.28862762
BRBR106,8/23/07,68,Good,39.1404686,-77.46980286
BRBR106,6/28/02,64,Fair,39.1404686,-77.46980286
BRBR106,6/27/00,64,Fair,39.1404686,-77.46980286
BRBR201,6/28/02,42,Poor,39.13929367,-77.47595978
BRBR201,6/29/00,24,Poor,39.13929367,-77.47595978
BRBR302,6/12/02,34,Poor,39.15984726,-77.45302582
BRBR302,6/13/00,42,Poor,39.15984726,-77.45302582
BRBR401,9/30/19,60,Fair,39.14803696,-77.45480347
BRBR401,8/6/14,74,Good,39.14803696,-77.45480347
BRBR401,10/3/02,56,Fair,39.14803696,-77.45480347
BRBR401,7/14/00,60,Fair,39.14803696,-77.45480347
BRBR401,10/23/96,68,Good,39.14803696,-77.45480347
BRBR401A,8/29/23,52,Fair,39.139265,-77.455965
BRBR403,10/3/02,60,Fair,39.12939835,-77.4617157
BRBR403,7/13/00,64,Fair,39.12939835,-77.4617157
BRBR406,8/20/02,68,Good,39.12725449,-77.47080231
BRBR406,7/18/00,64,Fair,39.12725449,-77.47080231
BRBR409,7/30/19,78,Good,39.1188931,-77.4805802
BRBR409,8/6/14,74,Good,39.1188931,-77.4805802
BRBR409,9/6/07,64,Fair,39.1188931,-77.4805802
BRBR409,10/2/02,78,Good,39.1188931,-77.4805802
BRBR409,6/30/00,78,Good,39.1188931,-77.4805802
BRBR409A,8/10/22,82,Good,39.120027,-77.480662
CJBB201,9/10/19,92,Excellent,39.02150345,-77.17097473
CJBB201,7/17/14,78,Good,39.02150345,-77.17097473
CJBB201,10/3/08,78,Good,39.02150345,-77.17097473
CJBB201,7/15/03,68,Good,39.02150345,-77.17097473
CJBB201,9/10/96,86,Good,39.02150345,-77.17097473
CJBC202,8/20/08,28,Poor,38.99039459,-77.14733124
CJBC202,7/14/03,28,Poor,38.99039459,-77.14733124
CJBC202,10/31/96,24,Poor,38.99039459,-77.14733124
CJBC202A,9/25/19,34,Poor,38.98963,-77.14767
CJBC203,10/8/15,64,Fair,38.9853333,77.1520853
CJBC203,10/20/14,60,Fair,38.9853333,77.1520853
CJBC203,9/19/13,46,Fair,38.9853333,77.1520853
CJBC203,9/1/09,74,Good,38.9853333,77.1520853
CJBC203,8/31/05,28,Poor,38.9853333,77.1520853
CJCC101A,8/2/23,52,Fair,NULL,NULL
CJCJ202,8/5/19,86,Good,39.04901886,-77.15342712
CJCJ202,7/15/14,82,Good,39.04901886,-77.15342712
CJCJ202,6/2/08,78,Good,39.04901886,-77.15342712
CJCJ202,8/19/03,68,Good,39.04901886,-77.15342712
CJCJ202,8/23/96,74,Good,39.04901886,-77.15342712
CJCJ302,9/19/19,78,Good,39.02743,-77.15691
CJCJ302,7/29/14,74,Good,39.02743,-77.15691
CJCJ302,9/4/08,74,Good,39.02743,-77.15691
CJCJ302,10/7/03,60,Fair,39.02743,-77.15691
CJCJ302,9/19/96,56,Fair,39.02743,-77.15691
CJCJ303,9/19/96,64,Fair,39.01291275,-77.16779327
CJCJ305,6/25/08,78,Good,38.98895645,-77.15943909
CJCJ305,10/9/03,74,Good,38.98895645,-77.15943909
CJCJ305,9/20/96,74,Good,38.98895645,-77.15943909
CJCJ306,7/31/14,60,Fair,38.98126221,-77.15981293
CJCJ306,1/12/09,78,Good,38.98126221,-77.15981293
CJCJ306,7/11/08,68,Good,38.98126221,-77.15981293
CJCJ306,7/31/03,56,Fair,38.98126221,-77.15981293
CJCJ306,10/25/96,60,Fair,38.98126221,-77.15981293
CJKB201,9/25/19,78,Good,39.00435,77.1724
CJKB201,7/11/14,78,Good,39.00435,77.1724
CJKB201,8/20/08,82,Good,39.00435,77.1724
CJKB201,7/15/03,68,Good,39.00435,77.1724
